result,dirname,id,depth,hidden_dim,kappa,batch_size,num_epochs,learning_rate
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00024,hpset_00024,1,100,1.000000,200,100,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00025,hpset_00025,1,300,0.100000,50,50,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00029,hpset_00029,1,300,0.100000,100,50,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00030,hpset_00030,1,300,0.100000,100,50,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00034,hpset_00034,1,300,0.100000,200,50,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00035,hpset_00035,1,300,0.100000,200,100,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00037,hpset_00037,1,300,1.000000,50,50,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00041,hpset_00041,1,300,1.000000,100,50,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00042,hpset_00042,1,300,1.000000,100,50,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00046,hpset_00046,1,300,1.000000,200,50,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00047,hpset_00047,1,300,1.000000,200,100,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00050,hpset_00050,2,100,0.100000,50,50,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00051,hpset_00051,2,100,0.100000,50,100,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00052,hpset_00052,2,100,0.100000,50,100,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00055,hpset_00055,2,100,0.100000,100,100,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00056,hpset_00056,2,100,0.100000,100,100,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00060,hpset_00060,2,100,0.100000,200,100,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00062,hpset_00062,2,100,1.000000,50,50,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00063,hpset_00063,2,100,1.000000,50,100,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00064,hpset_00064,2,100,1.000000,50,100,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00066,hpset_00066,2,100,1.000000,100,50,0.001000
